old_source_filename,new_source_filename,old_markdown_link,new_markdown_link,status
"A7404129.jpg","12-43-Wadi Rum.jpg","12-43-Wadi Rum.jpg","Images/2024 03 Middle East/12/12-43-Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"_DSC4307.jpg","12-44-Wadi Rum.jpg","12-44-Wadi Rum.jpg","Images/2024 03 Middle East/12/12-44-Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404297.jpg","12-45-Sunset in Wadi Rum.jpg","12-45-Sunset in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-45-Sunset in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404246.jpg","12-46-Sunset in Wadi Rum.jpg","12-46-Sunset in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-46-Sunset in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404286.jpg","12-47-Sunset in Wadi Rum.jpg","12-47-Sunset in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-47-Sunset in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404421.jpg","12-48-Sunset in Wadi Rum.jpg","12-48-Sunset in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-48-Sunset in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404488.jpg","12-49-Sunset in Wadi Rum.jpg","12-49-Sunset in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-49-Sunset in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404501.jpg","12-50-Night in Wadi Rum.jpg","12-50-Night in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-50-Night in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404522-Enhanced-NR.jpg","12-51-Night in Wadi Rum.jpg","12-51-Night in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-51-Night in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404513.jpg","12-52-Night in Wadi Rum.jpg","12-52-Night in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-52-Night in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
"A7404661-Enhanced-NR-Edit.jpg","12-53-Night in Wadi Rum.jpg","12-53-Night in Wadi Rum.jpg","Images/2024 03 Middle East/12/12-53-Night in Wadi Rum.jpg","RENAMED_SOURCE;UPDATED_MARKDOWN_LINK"
